record_kind	id	pack	production_caller	new_owner	delete_target	parity_gate	disposition	state
cell	RAW-NONPROGRAM-ARRAY-COMPOSITIONAL-DESCENT0-I0-R0	CALL-OBJECT0	raw_nonprogram_root_descent.rs:safe-Array	collection_literals.rs:build_array_literal_with_port_v1	safe-Array-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	RAW-NONPROGRAM-MAP-COMPOSITIONAL-DESCENT0-I0-R0	CALL-OBJECT0	raw_nonprogram_root_descent.rs:safe-Map	collection_literals.rs:build_map_literal_with_port_v1	safe-Map-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	RAW-NONPROGRAM-GROUPED-ASSIGNMENT-COMPOSITIONAL-DESCENT0-I0-R0	DESCENT-SPINE0	raw_nonprogram_root_descent.rs:safe-GroupedAssignment	variable_assignment_descent.rs:drive_variable_assignment_v1	safe-GroupedAssignment-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	RAW-NONPROGRAM-INDEX-COMPOSITIONAL-DESCENT0-I0-R0	CALL-OBJECT0	raw_nonprogram_root_descent.rs:safe-Index	indexing.rs:build_index_expression_with_port_v1	safe-Index-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	RAW-NONPROGRAM-EMPTY-BLOCK-EXPR-COMPOSITIONAL-DESCENT0-I0-R0	DESCENT-SPINE0	raw_nonprogram_root_descent.rs:empty-BlockExpr	raw_expression_dispatch/mod.rs:empty-BlockExpr	empty-BlockExpr-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	RAW-NONPROGRAM-ANNOTATION-FREE-LOCAL-ROOT-DESCENT0-I0-R0	DESCENT-SPINE0	raw_nonprogram_root_descent.rs:annotation-free-Local	local_statement_descent.rs:drive_local_statement_v1	annotation-free-Local-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	RAW-NONPROGRAM-BLOCK-EXPR-COMPOSITIONAL-PRELUDE0-I0-R0	DESCENT-SPINE0	raw_nonprogram_root_descent.rs:safe-BlockExpr-prelude	raw_expression_dispatch/mod.rs:selected-BlockExpr-prelude	safe-BlockExpr-prelude-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	RAW-NONPROGRAM-TASK-SCOPE-COMPOSITIONAL-DESCENT0-I0-R0	CONTROL0	raw_nonprogram_root_descent.rs:safe-TaskScope	task_scope_stmt.rs:build_task_scope_statement_with_port_v1	safe-TaskScope-to-raw-compatibility	cargo-test:raw-nonprogram-root+normal-parity	-	closed
cell	NORMAL-DEFAULT-PROGRAM-ROOT-ADMISSION0-I0-R0	COMPILER-RESIDUE0	four-selected-normal-source-sites	normal_default_pipeline.rs:PreparedNormalDefaultProgramRootV1+program_root_lowering.rs	selected-normal-bare-AST+nonProgram+generic-root-admission	cargo-test:normal-program-admission+root-catalog+reuse	-	closed
cell	RAW-NONPROGRAM-ROOT-COMPAT-RET0-R0	DESCENT-SPINE0	disconnected-raw-root-owner	owner-local-node-tests	raw_nonprogram_root_descent.rs+tests+residual-registry	cargo-test:owner-local-node-contracts+shared-ingress	-	closed
cell	MIRBUILDER-RAW-IF-REFERENCE-FACADE0-RET0	CONTROL0	caller-zero-cf_if+IfForm-shells	cf_if_with_port_v1+IfForm-core	cf_if+lower_if_form+lower_if_form_with_condition_value	cargo-test:if-statement-parity+if-driver	-	closed
cell	MIRBUILDER-SHORT-CIRCUIT-BUILD-EXPRESSION-FACADE0-I0-R0	CONTROL0	cfgtest-short-circuit-reference	drive_raw_legacy_expression_v1	logical_shortcircuit.rs:build_expression-calls	cargo-test:short-circuit-parity+raw+descent	-	closed
cell	MIRBUILDER-RECURSIVE-EXPR-TEST-EVIDENCE0-R0	DESCENT-SPINE0	cfgtest-recursive-expression-facade	raw-driver+recursion-guard	recursive_child_lowering_tests.rs:build_expression-calls	cargo-test:recursive-child+focused-guards	-	closed
cell	MIRBUILDER-EXPRESSION-OWNER-TEST-EVIDENCE0-R0	DESCENT-SPINE0	cfgtest-binary+short-circuit-facades	raw-driver+manual-parity	binary+short-circuit-test:build_expression-calls	cargo-test:binary+short-circuit+binary-only-guard	-	closed
cell	MIRBUILDER-CALL-OBJECT-TEST-EVIDENCE0-R0	CALL-OBJECT0	cfgtest-call-object-facades	raw-driver+exact-constant-setup	call-object-test:build_expression-calls	cargo-test:call-descent+route+terminal	-	closed
cell	MIRBUILDER-BINDING-STMT-TEST-EVIDENCE0-R0	DESCENT-SPINE0	cfgtest-local+assignment+compound-facades	raw-driver+exact-selected-owners	binding-statement-test:build_expression-calls	cargo-test:local+assignment+compound	-	closed
cell	MIRBUILDER-EXIT-CONTROL-PLAN-TEST-EVIDENCE0-R0	CONTROL0	cfgtest-return+if+control-plan-facades	raw-driver+typed-return+exact-local-setup	exit-control-plan-test:build_expression-calls	cargo-test:return+if+control-plan	-	closed
cell	MIRBUILDER-BUILD-EXPRESSION-FACADE0-RET0	DESCENT-SPINE0	caller-zero-build_expression-facade	drive_raw_legacy_expression_v1	builder_build.rs:build_expression-definition	cargo-check+inplace-guard	-	closed
cell	RAW-LOCAL-SPECIAL-INITIALIZER-PORT-CONTINUITY0-I0-R0	DESCENT-SPINE0	stmts/local_statement_descent.rs:blanket-raw-Local-port	typed-array-with-port+record-constructor-with-port	Local-special-initializer:fresh-RawLegacy-port-edges	cargo-test:Local-raw+snapshot-parity+reuse	-	closed
cell	RAW-LOOP-JOINIR-ENTRY-FACADE0-I0-R0	CONTROL0	recursive_child_lowering.rs:RawLoopChildEntryPort-impls	control_flow/joinir/routing.rs:lower_loop_or_freeze_v1	MirBuilder::cf_loop+two-production-calls	cargo-test:raw-loop+reject-detail+joinir	-	closed
cell	RAW-NEW-ROUTE-ONCE0-I0-R0	CALL-OBJECT0	raw_expression_dispatch.rs:ASTNode-New	PreparedRawNewExpressionV1+prepared-port-lower	nested-raw-New+duplicate-record-classifier+no-port-facades	cargo-test:raw-New+record-errors+field-init	-	closed
cell	RAW-FROM-CALL-ROUTE-ONCE0-I0-R0	CALL-OBJECT0	raw_expression_dispatch.rs:ASTNode-FromCall	PreparedRawFromCallV1+prepared-enum-or-ordinary-lower	optional-enum-probe+arguments-clone+no-port-facades	cargo-test:raw-From+enum-variant+diagnostic-order	-	closed
cell	RAW-SCOPEBOX-BODY-ROUTE-ONCE0-I0-R0	DESCENT-SPINE0	statement_surface.rs:ASTNode-ScopeBox	PreparedRawScopeBoxV1+prepared-guard-let-or-ordinary-lower	body-clone+Option-try-route+no-port-facade	cargo-test:guard-let+ScopeBox-order+failure	-	closed
cell	RAW-INDEX-READ-ROUTE-ONCE0-I0-R0	CALL-OBJECT0	raw_expression_dispatch.rs:ASTNode-Index	PreparedRawIndexReadV1+prepared-static-or-dynamic-lower	target/index-clone+repeated-Variable-observation+no-port-facade	cargo-test:index-order+static-data+metadata+failure	-	closed
cell	RAW-ENUM-MATCH-ROUTE-ONCE0-I0-R0	CONTROL0	raw_expression_dispatch.rs:ASTNode-EnumMatchExpr	PreparedRawEnumMatchV1+prepared-projection-or-bool-select-lower	dispatcher-clones+Option-probe+double-arm-observation+no-port-facade	cargo-test:guard-let-enummatch+route+diagnostic+failure	-	closed
cell	RAW-FIELD-READ-SOURCE-ROUTE-ONCE0-I0-R0	CALL-OBJECT0	raw_expression_dispatch.rs:ASTNode-FieldAccess	PreparedRawFieldReadV1+prepared-record-or-dynamic-lower	object-field-clones+Option-record-probe+read-facades	cargo-test:record-field+property-getter+FastMem+diagnostic+reuse	-	closed
cell	RAW-PRINT-SOURCE-ROUTE-ONCE0-I0-R0	DESCENT-SPINE0	statement_surface.rs:ASTNode-Print	PreparedRawPrintV1+prepared-TypeOp-or-General-lower	CallExpr-clone-probe+duplicate-FunctionCall-observation+child-clones+Print-facades	cargo-test:Print-TypeOp+General+debug-trace+failure+port-continuity	-	active
asset	PORT-AWARE-CALLABLE-DRAFT	DESCENT-SPINE0	-	port_aware_function_draft_impl.rs	-	-	IntegrateNow	closed
asset	GENERIC-DRAFT-COLLECTOR	FUNCTION-LIFECYCLE0	-	module_draft_collector.rs	-	-	IntegrateNow	closed
asset	CANDIDATE-SESSION	MODULE-LIFECYCLE0	-	module_invocation_session.rs	-	-	IntegrateNow	closed
asset	SOURCE-NEUTRAL-CALL-RECEIPT	CALL-OBJECT0	-	calls/unified_emitter	-	-	ReuseNeutral	closed
asset	PRELOOP-STAGEB-SPECIAL-ACTIVATION	COMPILER-RESIDUE0	-	preloop_stageb_carrier	-	-	Delete	closed
