# MIR-CONTEXT-OWNER-CENSUS0-D0 — builder mutable context field census
# columns: struct	field	type	role	writers	readers	lifetime	disposition
CompilationContext	current_slot_registry	Option<FunctionSlotRegistry>	session	14 (src/mir/builder/compilation_context.rs)	21	session	CompilationContext owner (builder context seam)
CompilationContext	plugin_method_sigs	HashMap<(String	environment	2 (src/mir/builder/builder_init.rs)	7	module	CompilationContext owner (builder context seam)
CompilationContext	quiet_internal_logs	bool	options	3 (src/mir/builder/module_invocation_session_p0.rs)	7	module	CompilationContext owner (builder context seam)
FunctionLoweringStateV1	current_function	Option<MirFunction>	session	23 (src/mir/builder/record_helper_args_tests.rs)	292	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	current_block	Option<BasicBlockId>	session	33 (src/mir/builder/module_lifecycle.rs)	164	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	variable_ctx	VariableContext	session	3 (src/mir/builder/enum_match_scopebox.rs)	107	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	type_ctx	TypeContext	session	11 (src/mir/builder/resolved_lowering/canonical_ssa/session/same_block_operand.rs)	172	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	binding_ctx	BindingContext	session	5 (src/mir/builder/enum_match_scopebox.rs)	28	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	resolved_binding_state	ResolvedBindingLoweringStateV1	session	3 (src/mir/builder/function_state_transaction.rs)	30	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	scope	FunctionScopeStateV1	session	40 (src/mir/builder/function_state_transaction.rs)	141	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	compilation	FunctionCompilationScratchV1	scratch	2 (src/mir/builder/raw_root_body_exit.rs)	106	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	value_origins	FunctionValueOriginFactsV1	session	3 (src/mir/builder/normal_callable_dynamic_origin.rs)	5	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	pending_phis	Vec<(BasicBlockId	scratch	3 (src/mir/builder/function_state_transaction.rs)	10	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	local_ssa_map	HashMap<(BasicBlockId	scratch	8 (src/mir/builder/function_state_transaction.rs)	13	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	schedule_mat_map	HashMap<(BasicBlockId	scratch	7 (src/mir/builder/function_state_transaction.rs)	10	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	pin_slot_names	HashMap<ValueId	scratch	2 (src/mir/builder/raw_root_body_exit.rs)	17	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	frag_emit_session	FragEmitSession	session	1 (src/mir/builder/function_state_transaction.rs)	9	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	protected_region	ProtectedRegionTransientStateV1	session	4 (src/mir/builder/control_flow/exception/try_catch_state.rs)	12	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	suppress_pin_entry_copy_next	bool	scratch	5 (src/mir/builder/function_state_transaction.rs)	5	function	FunctionLoweringStateV1 owner (builder context seam)
FunctionLoweringStateV1	in_unified_boxcall_fallback	bool	scratch	5 (src/mir/builder/function_state_transaction.rs)	7	function	FunctionLoweringStateV1 owner (builder context seam)
