# MIR-LEGACY-JOINMODULE-DISPOSITION0-D0 — legacy JoinModule disposition receipt
# columns: path	kind	disposition	owner	caller_evidence	default_fallback	removal_when
# dispositions: retain | quarantine | retire
# scope: every file producing/consuming/defining join_ir::JoinModule under src/**
# rule: no route deleted or activated; no default fallback; unknown external
#       callers are a non-claim. All rows are `retain` because every unit has
#       a live caller: join_ir/lowering is oracle-only (mir_joinir tests),
#       normalized_shadow is the strict/dev-gated StepTree observability lane
#       (single entry: run_function_body_step_tree_guard_v1, no-op when
#       !strict && !dev). builder/control_flow/joinir/** merge machinery uses
#       join_ir *types* (JoinFuncId, error_tags), not JoinModule — it is the
#       retained production merge path, outside this boundary.
src/mir/join_ir/mod.rs	definition	retain	join_ir module (JoinModule + impls + inline tests)	normalized_shadow producers + verifier + join_ir/lowering producers + mir_joinir tests	none	retire with the last JoinModule producer/consumer
src/mir/join_ir/lowering/skip_ws/generic_probe.rs	producer	retain	join_ir::lowering (oracle family)	src/tests/mir_joinir_{min,funcscanner_trim,skip_ws}.rs + src/tests/joinir/lowering (oracle-only; no production caller)	none	retire when mir_joinir oracle tests retire or gain a non-JoinModule fixture
src/mir/control_tree/normalized_shadow/builder.rs	producer	retain	control_tree::normalized_shadow (strict/dev observability)	dev_pipeline via run_function_body_step_tree_guard_v1 (port_aware_function_draft_impl); gated strict/dev — no-op in default production	none	retire when the strict/dev StepTree shadow gate is retired
src/mir/control_tree/normalized_shadow/common/loop_if_exit_contract.rs	producer	retain	control_tree::normalized_shadow (strict/dev observability)	dev_pipeline via run_function_body_step_tree_guard_v1 (port_aware_function_draft_impl); gated strict/dev — no-op in default production	none	retire when the strict/dev StepTree shadow gate is retired
src/mir/control_tree/normalized_shadow/dev_pipeline.rs	consumer	retain	control_tree::normalized_shadow (strict/dev observability)	dev_pipeline via run_function_body_step_tree_guard_v1 (port_aware_function_draft_impl); gated strict/dev — no-op in default production	none	retire when the strict/dev StepTree shadow gate is retired
src/mir/control_tree/normalized_shadow/entry/if_only.rs	producer	retain	control_tree::normalized_shadow (strict/dev observability)	dev_pipeline via run_function_body_step_tree_guard_v1 (port_aware_function_draft_impl); gated strict/dev — no-op in default production	none	retire when the strict/dev StepTree shadow gate is retired
src/mir/control_tree/normalized_shadow/if_as_last_join_k.rs	producer	retain	control_tree::normalized_shadow (strict/dev observability)	dev_pipeline via run_function_body_step_tree_guard_v1 (port_aware_function_draft_impl); gated strict/dev — no-op in default production	none	retire when the strict/dev StepTree shadow gate is retired
src/mir/control_tree/normalized_shadow/loop_true_break_once.rs	producer	retain	control_tree::normalized_shadow (strict/dev observability)	dev_pipeline via run_function_body_step_tree_guard_v1 (port_aware_function_draft_impl); gated strict/dev — no-op in default production	none	retire when the strict/dev StepTree shadow gate is retired
src/mir/control_tree/normalized_shadow/loop_true_if_break_continue.rs	producer	retain	control_tree::normalized_shadow (strict/dev observability)	dev_pipeline via run_function_body_step_tree_guard_v1 (port_aware_function_draft_impl); gated strict/dev — no-op in default production	none	retire when the strict/dev StepTree shadow gate is retired
src/mir/control_tree/normalized_shadow/mod.rs	producer	retain	control_tree::normalized_shadow (strict/dev observability)	dev_pipeline via run_function_body_step_tree_guard_v1 (port_aware_function_draft_impl); gated strict/dev — no-op in default production	none	retire when the strict/dev StepTree shadow gate is retired
src/mir/control_tree/normalized_shadow/normalized_verifier.rs	consumer	retain	control_tree::normalized_shadow (strict/dev observability)	dev_pipeline via run_function_body_step_tree_guard_v1 (port_aware_function_draft_impl); gated strict/dev — no-op in default production	none	retire when the strict/dev StepTree shadow gate is retired
src/mir/control_tree/normalized_shadow/post_if_post_k.rs	producer	retain	control_tree::normalized_shadow (strict/dev observability)	dev_pipeline via run_function_body_step_tree_guard_v1 (port_aware_function_draft_impl); gated strict/dev — no-op in default production	none	retire when the strict/dev StepTree shadow gate is retired
src/mir/control_tree/mod.rs	consumer	retain	control_tree module root	declares normalized_shadow module; doc comment only	none	retire when the strict/dev StepTree shadow gate is retired
src/tests/mir_joinir_min.rs	consumer	retain	src/tests oracle	constructs/inspects JoinModule fixtures for lowering producers	none	retire with the join_ir/lowering oracle family
src/tests/mir_joinir_funcscanner_trim.rs	consumer	retain	src/tests oracle	constructs/inspects JoinModule fixtures for lowering producers	none	retire with the join_ir/lowering oracle family
src/tests/mir_joinir_skip_ws.rs	consumer	retain	src/tests oracle	constructs/inspects JoinModule fixtures for lowering producers	none	retire with the join_ir/lowering oracle family
src/mir/edge_args.rs	reference	retain	edge_args module	doc comment only — CFG consumers own transport independently of JoinModule	none	n/a (comment)
