manifest_row_id	symbol	file	delete_category	edge_kind	production_callers	test_callers	outside_prod_caller_files	outside_test_caller_files	caller_evidence	disposition_row_ref	note
A18	mir::builder::control_flow::plan::features::nested_loop_depth1	src/mir/builder/control_flow/plan/features/nested_loop_depth1.rs	5	file	7	0	src/mir/builder/control_flow/plan/features/loop_cond_bc_item.rs;src/mir/builder/control_flow/plan/features/loop_cond_bc_item_stmt.rs;src/mir/builder/control_flow/plan/features/loop_cond_co_group_if.rs;src/mir/builder/control_flow/plan/features/loop_cond_co_stmt.rs;src/mir/builder/control_flow/plan/features/loop_true_break_continue_pipeline.rs;src/mir/builder/control_flow/plan/parts/loop_/nested_depth1.rs;src/mir/builder/control_flow/plan/nested_loop_plan_bridge.rs	-	rg:features::nested_loop_depth1:: + features/mod.rs:41 decl	edge:mir/builder/control_flow/plan/features/nested_loop_depth1	lower_nested_loop_depth1_any consumers in retained loop_cond/loop_true features — nested-bypass edges removed same commit (7 live vs 8 frozen at census: drift -1)
A19	mir::builder::control_flow::plan::features::nested_loop_depth1_preheader	src/mir/builder/control_flow/plan/features/nested_loop_depth1_preheader.rs	5	file	3	0	src/mir/builder/control_flow/plan/features/mod.rs;src/mir/builder/control_flow/plan/features/loop_cond_bc_item.rs;src/mir/builder/control_flow/plan/nested_loop_plan_bridge.rs	-	rg:nested_loop_depth1_preheader	edge:mir/builder/control_flow/plan/features/nested_loop_depth1_preheader	features/mod.rs:42 decl + apply_nested_loop_preheader_freshness call sites at loop_cond_bc_item.rs:260,279 + plan_bridge.rs:7
A20	mir::builder::control_flow::plan::features::nested_loop_depth1_route	src/mir/builder/control_flow/plan/features/nested_loop_depth1_route.rs	5	file	1	0	src/mir/builder/control_flow/plan/features/mod.rs	-	rg:nested_loop_depth1_route	edge:mir/builder/control_flow/plan/features/nested_loop_depth1_route	features/mod.rs:43 decl only
A21	mir::builder::control_flow::plan::nested_loop_depth1::facts	src/mir/builder/control_flow/plan/nested_loop_depth1/facts.rs	5	file	1	0	src/mir/builder/control_flow/plan/loop_cond/break_continue_helpers.rs	-	rg:nested_loop_depth1::facts	edge:mir/builder/control_flow/plan/nested_loop_depth1/facts	try_extract_nested_loop_depth1_facts import at break_continue_helpers.rs:19 removed same commit
A22	mir::builder::control_flow::plan::nested_loop_depth1	src/mir/builder/control_flow/plan/nested_loop_depth1/mod.rs	5	edge	5	0	src/mir/builder/control_flow/plan/mod.rs;src/mir/builder/control_flow/plan/features/loop_cond_bc_item.rs;src/mir/builder/control_flow/plan/features/loop_cond_bc_item_stmt.rs;src/mir/builder/control_flow/plan/parts/loop_/nested_depth1.rs;src/mir/builder/control_flow/plan/loop_cond/break_continue_helpers.rs	-	rg:plan::nested_loop_depth1:: + plan/mod.rs:94 decl	edge:mir/builder/control_flow/plan/nested_loop_depth1/mod	mod.rs survives as decl shell while facts.rs child is removed; edge = try_lower_nested_loop_depth1 re-export consumers + plan/mod.rs:94 decl (5 live vs 10 frozen at census: drift -5, bare-token overcount corrected)
A23	mir::builder::control_flow::plan::recipe_tree::generic_loop_composer	src/mir/builder/control_flow/plan/recipe_tree/generic_loop_composer.rs	6	file	1	0	src/mir/builder/control_flow/plan/recipe_tree/mod.rs	-	rg:generic_loop_composer	edge:mir/builder/control_flow/plan/recipe_tree/generic_loop_composer	recipe_tree/mod.rs:47 decl only; compose_generic_loop_v1_recipe dies with file
A24	mir::builder::control_flow::plan::skeletons::generic_loop	src/mir/builder/control_flow/plan/skeletons/generic_loop.rs	6	file	1	0	src/mir/builder/control_flow/plan/skeletons/mod.rs	-	rg:skeletons::generic_loop|mod generic_loop	edge:mir/builder/control_flow/plan/skeletons/generic_loop	skeletons/mod.rs:3 decl only; GenericLoopSkeleton/alloc_generic_loop_v0_skeleton dies with file
# Section B: 14 shared-retain rows (file retained; named edge neutralized)
B01	mir::builder::control_flow::joinir::route_entry::registry	src/mir/builder/control_flow/joinir/route_entry/registry/mod.rs	1	edge	9	1	src/mir/builder/control_flow/joinir/route_entry/mod.rs;src/mir/builder.rs;src/mir/builder/control_flow/plan/facts/loop_builder.rs;src/mir/builder/normal_callable_loop_source_route.rs;src/mir/builder/normal_callable_loop_source_facts/loop_break.rs;src/mir/builder/normal_callable_loop_source_facts/loop_cond.rs;src/mir/builder/normal_callable_loop_source_facts/loop_true.rs;src/mir/builder/normal_callable_loop_source_facts/generic.rs;src/mir/builder/normal_callable_loop_source_facts/generic/source_admission.rs	src/mir/builder/normal_callable_loop_source_route_tests.rs	rg:route_entry::registry + route_entry/mod.rs:30 decl	edge:mir/builder/control_flow/joinir/route_entry/registry/mod	file retained (hosts shared route types); edge = ordered-route-authority re-exports/decls consumed by route_loop switch + outside fact files
B02	mir::builder::control_flow::joinir::route_entry::registry::selection	src/mir/builder/control_flow/joinir/route_entry/registry/selection.rs	1	edge	4	1	src/mir/builder.rs;src/mir/builder/control_flow/joinir/route_entry/router.rs;src/mir/builder/normal_callable_loop_source_facts/generic.rs;src/mir/builder/normal_callable_loop_source_facts/generic/issuer.rs	src/mir/builder/normal_callable_loop_source_route_tests.rs	rg:registry::selection|select_recipe_first_routes	edge:mir/builder/control_flow/joinir/route_entry/registry/selection	ordered scheduler entry: select_recipe_first_routes + ENTRIES + RecipeFirstRouteSelectionV1 + CandidateSuppression/should_skip_candidate + VerifiedLocated*/Located*Error types
B03	mir::builder::control_flow::joinir::route_entry::registry::handlers	src/mir/builder/control_flow/joinir/route_entry/registry/handlers.rs	1	edge	0	0	-	-	rg:registry::handlers	edge:mir/builder/control_flow/joinir/route_entry/registry/handlers	handler dispatch incl. route_generic_loop_v{0,1}_at_attempt (S04); zero outside callers — dies with scheduler edge
B04	mir::builder::control_flow::joinir::route_entry::registry::predicates	src/mir/builder/control_flow/joinir/route_entry/registry/predicates.rs	1	edge	0	0	-	-	rg:registry::predicates	edge:mir/builder/control_flow/joinir/route_entry/registry/predicates	predicate table incl. pred_generic_loop_v{0,1} (S03); zero outside callers
B05	mir::builder::control_flow::joinir::route_entry::registry::types	src/mir/builder/control_flow/joinir/route_entry/registry/types.rs	1	edge	0	0	-	-	rg:registry::types	edge:mir/builder/control_flow/joinir/route_entry/registry/types	route-selection types; zero outside callers
B06	mir::builder::control_flow::joinir::route_entry::registry::loop_preflight	src/mir/builder/control_flow/joinir/route_entry/registry/loop_preflight.rs	1	edge	0	0	-	-	rg:registry::loop_preflight|loop_preflight::	edge:mir/builder/control_flow/joinir/route_entry/registry/loop_preflight	loop preflight inside ordered path; zero outside callers
B07	mir::builder::control_flow::joinir::route_entry::registry::live_ordered_terminality::all_route_preflight	src/mir/builder/control_flow/joinir/route_entry/registry/live_ordered_terminality/all_route_preflight.rs	1	edge	1	0	src/mir/builder/control_flow/joinir/route_entry/router.rs	-	rg:all_route_preflight	edge:mir/builder/control_flow/joinir/route_entry/registry/live_ordered_terminality/all_route_preflight	observe_all_route_preflight_v1 consumed by route_loop (S01)
B08	mir::builder::control_flow::joinir::route_entry::registry::live_ordered_terminality::all_route_preflight::tests	src/mir/builder/control_flow/joinir/route_entry/registry/live_ordered_terminality/all_route_preflight/tests.rs	1	edge	0	0	-	-	rg:all_route_preflight::tests	edge:mir/builder/control_flow/joinir/route_entry/registry/live_ordered_terminality/all_route_preflight/tests	test-only; dies with preflight edge
B09	mir::builder::control_flow::joinir::route_entry::registry::live_ordered_terminality::logical_product	src/mir/builder/control_flow/joinir/route_entry/registry/live_ordered_terminality/logical_product.rs	1	edge	0	0	-	-	rg:live_ordered_terminality::logical_product	edge:mir/builder/control_flow/joinir/route_entry/registry/live_ordered_terminality/logical_product	zero outside callers
B10	mir::builder::control_flow::joinir::route_entry::registry::live_ordered_terminality::transaction	src/mir/builder/control_flow/joinir/route_entry/registry/live_ordered_terminality/transaction.rs	1	edge	0	0	-	-	rg:live_ordered_terminality::transaction	edge:mir/builder/control_flow/joinir/route_entry/registry/live_ordered_terminality/transaction	zero outside callers
B11	mir::builder::control_flow::joinir::route_entry::registry::direct_loop_break_terminality	src/mir/builder/control_flow/joinir/route_entry/registry/direct_loop_break_terminality.rs	1	edge	1	0	src/mir/builder/normal_callable_loop_source_facts/loop_break.rs	-	rg:direct_loop_break_terminality	edge:mir/builder/control_flow/joinir/route_entry/registry/direct_loop_break_terminality	loop_break source-facts reference removed same commit
B12	mir::builder::control_flow::joinir::route_entry::registry::effect_order_matrix_tests	src/mir/builder/control_flow/joinir/route_entry/registry/effect_order_matrix_tests.rs	1	edge	0	0	-	-	rg:effect_order_matrix_tests	edge:mir/builder/control_flow/joinir/route_entry/registry/effect_order_matrix_tests	test-only
B13	mir::builder::control_flow::joinir::route_entry::registry::scoped_nongeneric_cutover_tests	src/mir/builder/control_flow/joinir/route_entry/registry/scoped_nongeneric_cutover_tests.rs	1	edge	0	0	-	-	rg:scoped_nongeneric_cutover	edge:mir/builder/control_flow/joinir/route_entry/registry/scoped_nongeneric_cutover_tests	test-only
B14	mir::config::env::joinir_dev (file: src/config/env/joinir_dev.rs — disposition path src/mir/config/env/joinir_dev.rs corrected at freeze)	src/config/env/joinir_dev.rs	8	edge	4	2	src/mir/join_ir/lowering/loop_view_builder.rs;src/mir/join_ir/lowering/skip_ws.rs;src/mir/join_ir/lowering/loop_to_join/core.rs;src/mir/join_ir/lowering/common/target_adapter.rs	src/tests/mir_joinir_funcscanner_trim.rs;src/tests/mir_joinir_skip_ws.rs	rg:lower_generic_enabled|NYASH_JOINIR_LOWER_GENERIC	edge:mir/config/env/joinir_dev	env registry file retained; edge = NYASH_JOINIR_LOWER_GENERIC flag + lower_generic_enabled() getter + 4 production readers + 2 test readers
# Section C: symbol-level edges inside retained files (categories 1,3,4)
C01	route_loop ordered-scheduler call edges	src/mir/builder/control_flow/joinir/route_entry/router.rs	1	edge	1	0	src/mir/builder/control_flow/joinir/routing.rs	-	rg:route_loop(	-	switch point: routing.rs:552 call stays; inside route_loop the edges removed = try_build_outcome, registry::select_recipe_first_routes, issue_live_preflight_frame_from_outcome, registry::observe_all_route_preflight_v1, into_legacy_execution().try_execute_if_allowed, enforce_shadow_adopt_pre_plan_guard, expectations::should_expect_plan, planner_reject_detail::set_last_plan_reject_detail_if_absent — replaced by one policy winner -> verified recipe -> one physicalizer
C02	registry::select_recipe_first_routes + ENTRIES	src/mir/builder/control_flow/joinir/route_entry/registry/selection.rs	1	edge	4	1	(see B02)	(see B02)	rg:select_recipe_first_routes	-	the ordered 19-route schedule product; caller edge consumed by C01 replacement
C03	pred_generic_loop_v0 / pred_generic_loop_v1	src/mir/builder/control_flow/joinir/route_entry/registry/predicates.rs	4	edge	0	0	-	-	rg:pred_generic_loop_v	-	V0/V1 predicate edges at predicates.rs:85-86; die with the predicate table
C04	route_generic_loop_v0_at_attempt / route_generic_loop_v1_at_attempt + handlers::generic::{route_generic_loop_v0,route_generic_loop_v1}	src/mir/builder/control_flow/joinir/route_entry/registry/handlers.rs;src/mir/builder/control_flow/joinir/route_entry/registry/handlers/generic.rs	4	edge	0	0	-	-	rg:route_generic_loop_v	-	V0/V1 handler edges at handlers.rs:16-31 delegating to handlers/generic.rs; die with the handler table
C05	Ok(None) decline/continuation edges in retained path	src/mir/builder/control_flow/joinir/route_entry/registry/live_preflight_frame.rs;src/mir/builder/control_flow/joinir/route_entry/router.rs	3	edge	0	0	-	-	rg:recipe_first_allowed|allow_shadow_fallback	-	private continuation/error-to-None: try_execute_if_allowed returns Ok(None) when !recipe_first_allowed (live_preflight_frame.rs:81-83, file retained); route_loop's allow_shadow_fallback + post-failure planner_reject_detail edges die with C01 — the winner never converts a verified-product failure into a next-candidate retry
C06	pub use generic_loop_canon::* facade block	src/mir/builder/control_flow/facts/canon/generic_loop.rs	7	edge	0	0	-	-	rg:pub(crate) use crate::mir::builder::control_flow::generic_loop_canon	-	facade re-export block (lines ~10-18): canon_condition_for_generic_loop_v0, canon_loop_increment_for_var, canon_update_for_loop_var, is_break_else_if_with_increment, is_continue_if_with_increment, matches_loop_increment, ConditionCanon, UpdateCanon + Legacy aliases; callers of canon::generic_loop::* = 0 live — facade dies with file A01
# Totals trailer
TOTALS	rows=44 (files_neutralize_first=24, retained_edge_files=14, symbol_edges=6)	categories=1:15+2:2+3:1+4:8+5:5+6:10+7:2+8:1	outside_prod_callers_sum=75	outside_test_callers_sum=9	drift_vs_disposition=joinir_dev path corrected to src/config/env/joinir_dev.rs (prod 120->4 flag-scoped, test 3->2); gl_facts_extract prod 2->3, test 4->1; gl_facts_mod prod 4->3, test 4->0; gl_facts_types prod 3->4; gl_mod prod 15->7, test 4->1; reg_dlbt prod 0->1; reg_arp prod 0->1; reg_legacy_rec prod 0->1 test 0->1; reg_selection prod 0->4 test 0->1; reg_mod prod 174->9 test 27->1 (route_entry::registry anchoring replaces bare token); feat_nld1 prod 8->7; nld1_mod prod 10->5 (plan:: anchoring)	-	-	-	-	verification: re-run recorded rg token classes on committed tree; every A-row file must exist; every outside caller listed must appear in the rg hit set and vice versa; prod/test sums count per-row outside callers (A05/A22 subtree rows overlap their children by design)
